ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,name,addl,notice,peer,source
1762166929.965753,CJ4GYg4ZmcrgcXi6Ch,192.168.7.101,63697,172.67.186.43,443,truncated_tcp_payload,-,F,zeek,TCP
1762166974.997833,CquQF62ArAD1uPWnU5,192.168.7.101,61085,93.125.99.98,443,truncated_tcp_payload,-,F,zeek,TCP
1762167028.141113,CyY8Fz45g7zj3iQfj3,192.168.7.101,59789,184.51.252.50,443,window_recision,-,F,zeek,-
1762167028.142330,CGbuJA4GqQoPIwPwXl,192.168.7.101,57228,184.51.252.50,443,window_recision,-,F,zeek,-
1762167028.467691,C5eRwd4a6MTUJCslc2,192.168.7.101,51778,20.189.173.7,443,truncated_tcp_payload,-,F,zeek,TCP
1762167029.736178,Csh8h61e7BBMfZzeW2,192.168.7.101,53706,2.19.205.33,443,window_recision,-,F,zeek,-
1762167030.388291,Caivom413POlDTmnl,192.168.7.101,53150,2.23.167.98,443,window_recision,-,F,zeek,-
1762167030.537550,CJlaAv3zrIDSdik1ri,192.168.7.101,56627,184.51.252.54,443,window_recision,-,F,zeek,-
1762167051.942122,CTJVTmnqxmheIsb07,192.168.7.101,49976,18.239.50.108,443,truncated_tcp_payload,-,F,zeek,TCP
1762167110.241245,CJOqhK3XiVjro7Dgj5,192.168.7.101,63606,199.232.192.193,443,truncated_tcp_payload,-,F,zeek,TCP
1762167114.149479,CQfLCNmIBTRCGhIHl,192.168.7.101,54894,185.199.110.133,443,truncated_tcp_payload,-,F,zeek,TCP
1762167138.983068,Ca5rVb1LSXpjRkyI6h,192.168.7.101,53842,184.51.252.53,443,window_recision,-,F,zeek,-
1762167138.983734,CCKfJd2fX8qRGakC78,192.168.7.101,64038,184.51.252.53,443,window_recision,-,F,zeek,-
1762167143.219446,C09Iq13HHjzXch0On2,192.168.7.101,53428,18.238.243.70,443,truncated_tcp_payload,-,F,zeek,TCP
1762167162.682344,C09Iq13HHjzXch0On2,192.168.7.101,53428,18.238.243.70,443,window_recision,-,F,zeek,-
