ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,version,cipher,curve,server_name,resumed,last_alert,next_protocol,established,ssl_history,cert_chain_fps,client_cert_chain_fps,sni_matches_cert,validation_status
1762174613.811196,CPlUon4hPrMg5h5tb7,192.168.7.101,53444,95.168.222.205,443,-,-,-,rr2---sn-n02xgoxufvg3-2gb6.googlevideo.com,F,-,-,F,C,-,-,-,-
1762174632.865130,CWDC8L3PrdvkcClMX6,192.168.7.101,49641,95.168.222.205,443,-,-,-,rr2---sn-n02xgoxufvg3-2gb6.googlevideo.com,F,-,-,F,C,-,-,-,-
1762174634.597699,CKIqjn3FTJllYUZkcg,192.168.7.101,58176,95.168.222.205,443,-,-,-,rr2---sn-n02xgoxufvg3-2gb6.googlevideo.com,F,-,-,F,C,-,-,-,-
1762174640.360030,C3gLmixB6MqAJ9zKc,192.168.7.101,55693,95.168.222.205,443,-,-,-,rr2---sn-n02xgoxufvg3-2gb6.googlevideo.com,F,-,-,F,C,-,-,-,-
1762174673.497848,CXfkix1kkjZBXKFbT1,192.168.7.101,50596,150.171.27.11,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,secp384r1,edge.microsoft.com,F,-,h2,T,CsxuknGIti,"e43edc79c7e04bfcfd8d0f3dfcacd3063ac61391e270d8c407b65f391be0006f,724247794951c93f3e41711617e95ce143263e3196c345a1da78f6639749ec03",(empty),T,ok
1762174674.722256,ChsCnq3Ll3LS39mCxf,192.168.7.101,63876,194.124.204.71,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,s.deepl.com,F,-,-,T,CsiI,-,-,-,-
1762174653.638657,CyI7iz4v2vyigRAwP1,192.168.7.101,57621,95.168.222.205,443,-,-,-,rr2---sn-n02xgoxufvg3-2gb6.googlevideo.com,F,-,-,F,C,-,-,-,-
1762174699.321188,CaiB2C4Vq1AMbgZNBf,192.168.7.101,65145,64.233.163.95,443,TLSv13,TLS_AES_256_GCM_SHA384,X25519MLKEM768,waa-pa.clients6.google.com,T,-,-,T,CsiI,-,-,-,-
1762174721.982560,CUXkDI2x7g9V97QhUl,192.168.7.101,65146,23.213.161.17,443,TLSv12,TLS_ECDHE_ECDSA_WITH_AES_256_GCM_SHA384,secp256r1,catalog.gamepass.com,F,-,h2,T,CsxuknGIti,"4501e8644d431476ce44a70e702647a2fb4d374c5ff9fa374e38de955bb6563b,be23414a42e74886e7c72a861ba2ddda0175ed829223d894c5d272651fc0c189",(empty),T,ok
1762174597.055311,CjKxYvnzjNb06KUW5,192.168.7.101,51351,135.225.150.15,443,-,-,-,nleditor.osi.office.net,F,-,-,F,C,-,-,-,-
1762174759.471074,CGK5v7qVNk23w2tL9,192.168.7.101,61303,40.114.178.124,443,TLSv13,TLS_AES_256_GCM_SHA384,X25519MLKEM768,staticcdn.duckduckgo.com,T,-,-,T,CsiI,-,-,-,-
1762174177.978249,CAt4WB42xBCGZEn4w8,192.168.7.101,58457,20.42.73.30,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,functional.events.data.microsoft.com,F,-,-,F,CjiIC,-,-,-,-
1762174819.434347,C9ISZr2y9E7No0AtBd,192.168.7.101,53676,40.114.178.124,443,TLSv13,TLS_AES_256_GCM_SHA384,X25519MLKEM768,staticcdn.duckduckgo.com,T,-,-,T,CsiI,-,-,-,-
1762174852.207553,CDcVoR25MZ5G5XuRD6,192.168.7.101,64078,20.42.73.26,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,functional.events.data.microsoft.com,F,-,-,T,CjiICs,-,-,-,-
1762174858.317709,C8uO7O1q66ytNevCc9,192.168.7.101,59803,74.125.131.84,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,accounts.google.com,T,-,-,T,CsiI,-,-,-,-
1762174866.857311,Cj9AJ14reviR00Lcm4,192.168.7.101,57656,172.217.23.110,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,accounts.youtube.com,T,-,-,T,CsiI,-,-,-,-
1762174879.323870,CySTFm3MWMVcxTfCxk,192.168.7.101,57851,173.194.221.95,443,TLSv13,TLS_AES_256_GCM_SHA384,X25519MLKEM768,addons-pa.clients6.google.com,T,-,-,T,CsiI,-,-,-,-
1762174883.982435,CiVqly4lvGn30Zy1L6,192.168.7.101,53604,64.233.164.94,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,ssl.gstatic.com,T,-,-,T,CsiI,-,-,-,-
1762174901.347292,CWaEt2VNRo2b2Nyz2,192.168.7.101,56742,194.124.204.71,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,s.deepl.com,F,-,-,T,CsiI,-,-,-,-
1762174914.083125,CVah9S3x9Evfx3PyEc,192.168.7.101,62551,87.119.18.27,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,static.deepseek.com,T,-,-,T,CsiI,-,-,-,-
1762174913.686901,CUrETw2vbGxYmek2Hh,192.168.7.101,58369,13.107.6.158,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,turing-writingassistance.edge.microsoft.com,F,-,-,T,CjiICs,-,-,-,-
1762174915.693265,CGjFXlM65xSKKpwg5,192.168.7.101,62065,142.250.184.246,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,i.ytimg.com,T,-,-,T,CsiI,-,-,-,-
1762174915.760485,CRACp32T5cJes3ofo7,192.168.7.101,51990,142.250.184.246,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,i.ytimg.com,T,-,-,T,CsiI,-,-,-,-
1762174932.407510,CbgbRh1KQ0nVbtwNxf,192.168.7.101,58987,172.64.151.134,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,experimentation.deepl.com,T,-,-,T,CsiI,-,-,-,-
1762174939.877046,C5B7ZojkwtdRiZF6f,192.168.7.101,49892,212.188.35.17,443,-,-,-,rr6---sn-jvhnu5g-n8vk.googlevideo.com,F,-,-,F,C,-,-,-,-
1762174940.476323,CYkVoH1ouWNcHuWaKb,192.168.7.101,62956,212.188.35.17,443,-,-,-,rr6---sn-jvhnu5g-n8vk.googlevideo.com,F,-,-,F,C,-,-,-,-
1762174954.117115,CFIJQT25ozSqpfqxG5,192.168.7.101,59021,173.194.0.198,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,rr1---sn-25glenlr.googlevideo.com,T,-,-,T,CsiI,-,-,-,-
1762174956.487223,C6FWTq1YQXDGUpwwd4,192.168.7.101,57596,142.250.186.129,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,yt3.ggpht.com,T,-,-,T,CsiI,-,-,-,-
1762174957.193878,CBPXMysHAH1yYdM63,192.168.7.101,57597,2.19.205.112,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,assets.msn.com,T,-,-,T,CsiI,-,-,-,-
1762174957.673204,CJPeVkHT9CJiSSfNj,192.168.7.101,57598,23.35.105.66,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,windows.msn.com,T,-,-,T,CsiI,-,-,-,-
1762174957.828604,CXUwer1CLKHCgMhXVa,192.168.7.101,49877,184.50.200.28,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,www.msn.com,F,-,-,T,CsiI,-,-,-,-
1762174961.815179,C9PdYn3elNi6JBGjc9,192.168.7.101,53505,108.177.14.94,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,fonts.gstatic.com,T,-,-,T,CsiI,-,-,-,-
