ts,fuid,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,source,depth,analyzers,mime_type,filename,duration,local_orig,is_orig,seen_bytes,total_bytes,missing_bytes,overflow_bytes,timedout,parent_fuid,md5,sha1,sha256,extracted,extracted_cutoff,extracted_size
1762173384.754304,Fd2fF01NUZqVYYf4o,CZTtNA4Cc7LdBW4jbc,192.168.7.101,59744,150.171.28.11,443,SSL,0,"SHA1,MD5,OCSP_REPLY",application/ocsp-response,-,0.000000,F,F,1858,-,0,0,F,-,e54fdc72099c1703434bfad23e65a2c1,570526cb35b2db00919b80bc7296a761d3785e97,-,-,-,-
1762173386.674250,FbQppC9OuJPvm1GZ6,CyHTqg8gjdSV3Mzod,192.168.7.101,61628,192.168.7.205,80,HTTP,0,"SHA1,MD5",text/plain,-,0.000000,T,T,37,37,0,0,F,-,6e6f97fbd331c61ef8eef698c49aadf0,135a59e53ee61e52b9f3d76641d2d3f6ae17f590,-,-,-,-
1762173386.674952,F2qaUh4QQ5gy4h0UWl,CyHTqg8gjdSV3Mzod,192.168.7.101,61628,192.168.7.205,80,HTTP,0,"SHA1,MD5",text/html,-,0.000000,T,F,564,-,0,0,F,-,5da4c1420f84ec727d1b6bdd0d46e62e,280d08d142f7386283f420444ec48e1cdbfd61bb,-,-,-,-
1762173389.778374,FWl0EP6sYWviKRPmf,CyHTqg8gjdSV3Mzod,192.168.7.101,61628,192.168.7.205,80,HTTP,0,"SHA1,MD5",text/html,-,0.000000,T,F,564,-,0,0,F,-,5da4c1420f84ec727d1b6bdd0d46e62e,280d08d142f7386283f420444ec48e1cdbfd61bb,-,-,-,-
1762173398.920898,Flnx2PImTS5UPlzW3,CVzdVz4tvZJkXyQsVd,192.168.7.101,57771,192.168.7.205,80,HTTP,0,"SHA1,MD5",text/html,-,0.000000,T,F,412,412,0,0,F,-,0d4d59e90535a6429292bba8793b1457,74273c5527aaad2326a3c47bee9b3f5679f79d73,-,-,-,-
1762173401.204197,Fd0myV6aZJfBtMy7d,CBuHoH3c6uc1UPqa16,192.168.7.101,57772,192.168.7.205,80,HTTP,0,"SHA1,MD5",text/html,-,0.000000,T,F,412,412,0,0,F,-,0d4d59e90535a6429292bba8793b1457,74273c5527aaad2326a3c47bee9b3f5679f79d73,-,-,-,-
1762173401.511343,F1BWMk2roEf59MVRhi,CI9RzK1Y6RppJsTflb,192.168.7.101,57773,192.168.7.205,80,HTTP,0,"SHA1,MD5",text/html,-,0.000000,T,F,412,412,0,0,F,-,0d4d59e90535a6429292bba8793b1457,74273c5527aaad2326a3c47bee9b3f5679f79d73,-,-,-,-
1762173403.921691,FVkgqVJT48BYxuQt6,Ckbv1W3qlUZzS3ZTwk,192.168.7.101,57774,192.168.7.205,80,HTTP,0,"SHA1,MD5",text/html,-,0.000000,T,F,412,412,0,0,F,-,0d4d59e90535a6429292bba8793b1457,74273c5527aaad2326a3c47bee9b3f5679f79d73,-,-,-,-
1762173423.423952,FXyZsi3wUu4pobl1A9,CWfIwB3KFuFQq1zWbk,192.168.7.101,49626,192.168.7.205,80,HTTP,0,"SHA1,MD5",text/html,-,0.000000,T,F,162,162,0,0,F,-,1b7c22a214949975556626d7217e9a39,d01c97e2944166ed23e47e4a62ff471ab8fa031f,-,-,-,-
1762173431.958186,FMPteN2m0LJIzc3PBj,CA9drXko4HbBqi8Rj,192.168.7.101,49632,192.168.7.205,80,HTTP,0,"SHA1,MD5",text/html,-,0.000000,T,F,412,412,0,0,F,-,0d4d59e90535a6429292bba8793b1457,74273c5527aaad2326a3c47bee9b3f5679f79d73,-,-,-,-
